Departamento,Epigrafe,Item_Nombre,Item_URL_XML,Seccion,Alertas,Materias
['TRIBUNAL CONSTITUCIONAL'],['Cuestiones de inconstitucionalidad'],"['Cuestión de inconstitucionalidad n.º 4701-2020, en relación con el inciso primero del artículo 92.7 del Código Civil.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16670,['I. Disposiciones generales'],"['Derecho Civil', 'Derecho Constitucional']","['Código Civil', 'Cuestiones de inconstitucionalidad', 'Divorcio', 'Patria potestad', 'Tribunal Constitucional', 'Violencia de género']"
['TRIBUNAL CONSTITUCIONAL'],['Cuestiones de inconstitucionalidad'],"['Cuestión de inconstitucionalidad n.º 5246-2020, en relación con el artículo 137 de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, por posible vulneración de los arts. 23.2 y 25.1 de la CE.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16671,['I. Disposiciones generales'],"['Derecho Administrativo', 'Derecho Constitucional', 'Derecho Penal']","['Cuestiones de inconstitucionalidad', 'Delitos e infracciones electorales', 'Elecciones', 'Tribunal Constitucional']"
['TRIBUNAL CONSTITUCIONAL'],['Conflictos constitucionales'],"['Conflicto positivo de competencia número 6201-2020, contra los apartados segundo, tercero, cuarto, octavo. 4, noveno y anexo del Decreto 87/2020, de 9 de diciembre, del Presidente de la Comunidad Autónoma de Canarias, por el que se establece el cierre perimetral de la Comunidad Autónoma de Canarias, en aplicación del Real Decreto 926/2020, de 25 de octubre, por el que se declara el estado de alarma, para contener la propagación de infecciones causadas por el SARS-COV-2.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16672,['I. Disposiciones generales'],"['Derecho Constitucional', 'Organización de la Administración', 'Sanidad']","['Canarias', 'Conflictos de Competencia', 'Epidemias', 'Estado de alarma', 'Tribunal Constitucional']"
"['MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN']",['Acuerdos internacionales administrativos'],"['Acuerdo Multilateral M332 en virtud de la sección 1.5.1 del ADR, en relación con lo establecido para los materiales radiactivos de baja actividad específica BAE-III en el párrafo 2.2.7.2.3.1.4 del ADR, hecho en Madrid el 11 de diciembre de 2020.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16673,['I. Disposiciones generales'],"['Relaciones internacionales', 'Transportes y tráfico']","['Acuerdos internacionales', 'Análisis', 'Energía nuclear', 'Mercancías peligrosas', 'Residuos', 'Transporte de mercancías', 'Transportes internacionales', 'Transportes por carretera']"
['MINISTERIO DE HACIENDA'],['Procedimientos tributarios. Gestión informatizada'],"['Resolución de 15 de diciembre de 2020, del Departamento de Gestión Tributaria de la Agencia Estatal de Administración Tributaria, por la que se habilitan trámites y actuaciones a través del canal telefónico, mediante determinados sistemas de identificación.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16674,['I. Disposiciones generales'],"['Consumidores y usuarios', 'Sistema tributario', 'Telecomunicaciones']","['Agencia Estatal de la Administración Tributaria', 'Consumidores y usuarios', 'Procedimiento administrativo', 'Recaudación', 'Seguridad informática', 'Servicios de telecomunicación', 'Teléfonos']"
"['MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES']",['Organización'],"['Resolución de 15 de diciembre de 2020, de la Tesorería General de la Seguridad Social, por la que se modifica el ámbito territorial de determinadas Unidades de Recaudación Ejecutiva de la Seguridad Social.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16675,['I. Disposiciones generales'],"['Derecho Administrativo', 'Seguridad Social']","['Alicante', 'Apremios', 'Gipuzkoa', 'Madrid', 'Procedimiento administrativo', 'Recaudación', 'Tesorería General de la Seguridad Social', 'Zamora']"
['COMUNIDAD AUTÓNOMA DE CATALUÑA'],['Elecciones al Parlamento de Cataluña. Convocatoria'],"['Decreto 147/2020, de 21 de diciembre, de disolución automática del Parlamento de Cataluña y de convocatoria de elecciones.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16676,['I. Disposiciones generales'],"['Derecho Constitucional', 'Organización de la Administración']","['Cataluña', 'Diputados', 'Elecciones autonómicas', 'Parlamento Autonómico', 'Procedimiento Electoral']"
