Departamento,Epigrafe,Item_Nombre,Item_URL_XML,Seccion,Alertas,Materias
"['MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN']",['Acuerdos internacionales administrativos'],"['Convenio entre el Ministerio de Transportes, Movilidad y Agenda Urbana, la Agencia Estatal de Seguridad Aérea, la Agencia Estatal de Seguridad Ferroviaria y la Comisión de Intercambio Cultural, Educativo y Científico entre España y los Estados Unidos de América, para la convocatoria de las becas ""Ministerio de Transportes, Movilidad y Agenda Urbana-Fulbright"", hecho en Madrid el 15 de octubre de 2020.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-587,['I. Disposiciones generales'],,
['MINISTERIO DE HACIENDA'],['Organización'],"['Resolución de 13 de enero de 2021, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se modifica la de 22 de enero de 2013, sobre organización y atribución de competencias en el Área de Recaudación.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-588,['I. Disposiciones generales'],,
['MINISTERIO DE HACIENDA'],['Organización'],"['Resolución de 13 de enero de 2021, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se modifica la de 24 de marzo de 1992, sobre organización y atribución de funciones a la Inspección de los Tributos en el ámbito de la competencia del Departamento de Inspección Financiera y Tributaria.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-589,['I. Disposiciones generales'],,
['MINISTERIO DE HACIENDA'],['Organización'],"['Resolución de 13 de enero de 2021, de la Presidencia de la Agencia Estatal de Administración Tributaria, sobre organización y atribución de funciones en el ámbito de competencias del Departamento de Gestión Tributaria.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-590,['I. Disposiciones generales'],,
['MINISTERIO DE HACIENDA'],['Organización'],"['Resolución de 13 de enero de 2021, de la Presidencia de la Agencia Estatal de Administración Tributaria, sobre organización y atribuciones de funciones en el Área de Aduanas e Impuestos Especiales.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-591,['I. Disposiciones generales'],,
"['MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA']",['Medidas excepcionales'],"['Orden PCM/14/2021, de 14 de enero, por la que se publica el Acuerdo del Consejo de Ministros de 12 de enero de 2021, por el que se prorroga por segunda vez el Acuerdo del Consejo de Ministros de 22 de diciembre de 2020, por el que se establecen medidas excepcionales para limitar la propagación y el contagio por el COVID-19, mediante la limitación de los vuelos directos y buques de pasaje entre Reino Unido y los aeropuertos y puertos españoles.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-592,['I. Disposiciones generales'],,
