User,Freq
PropertyJungle,5
simon_chopin,1
Adarajas_es,2
housfy_es,2
ksioushaaa,1
EstatesGazette,1
iamtheagent1,1
MonBuilding,1
fmMidEast,1
SusanSwaffer,1
jupiterorbit,1
UpBizor,1
urbanitae,3
MoneyWeighted,2
CREmobile,2
twinview_,1
MayoInfografia,1
PRTIMES_TECH,1
empinmobiliaria,1
eltonmark,1
hosman_co,1
liaionita1,1
SteveMarc_,1
AsbjoernErdal,1
LovelyLisaBaker,1
PRTIMES_APP,1
DidacLee,2
VcTrainings,1
david_bernabeu,3
alMunaikh,2
alfaruqstories,1
MESTAfrica,2
mjserranillos77,1
iptops_com_news,1
AlexMarriner,1
BritBIM,3
paujoqs,1
PRTIMES_STUP,1
roizotorrijos,1
insigniavc,9
joinajar,4
pinhome_id,1
zoop_one,1
PZbros7,5
Lynks_Estates,4
Kazuki_Dappi531,1
ry__________rk,1
JunichiroMurata,1
taichi_health,1
rehownet2,1
neko_san2019,1
PRTIMES_NEWS,1
wmr_startup,1
avalistospain,1
rentprofile,5
LocateeCH,4
VUCITY_,1
damnson,1
RetailReporting,2
Provis_EM,1
Prop_Folio,3
msnicolawilson,1
damienbrowne,1
Proptech_Cap,4
ibizahideaway,1
temporalluk,1
ClimateTrade,1
BeMovePro,2
CaroleQuentric,3
axeleo,2
presseticker,1
carlosblanco,4
HarryAlbertProp,1
AnomieGeog,5
CrowdPropertyUK,1
AppTrailerFish,2
NimbusMaps,1
primeraconvo,1
RentalStep,1
IoTtogether,1
ricardcastellet,2
romford11,5
247property,1
CWMiddleEast,1
PropTechCanada,1
Silvia_Escamez,1
Oualid_Meriague,1
groupeLBHabitat,1
Ulrika_Steiner,1
joakimVivas,2
PropertyJourn,6
pjmfinn,1
TechNodeGlobal,1
bproperty_com,4
modifai4,3
SkowoH,1
adrianafreitas,1
BellSailing,9
realbobbybryant,7
Takeda_Proptech,14
littletech_,1
unahub,1
propviz,5
m2crowd,2
mcworthington,1
ForbesRECouncil,1
DavidBreezeUK,1
WalterStrametz,2
OrangeMagTV,1
JoshRutman,1
TheCloudSumo,1
BRSW_Paris,3
MianMasud,1
OrangeInv,1
milehightech,1
PropertyCouncil,1
adnandarr,1
denbizjournal,1
JLLAustralia,1
goodnewsfinland,1
anam_martinez,1
CohnReznick,1
Tokenismllc,1
PinkLionLLC,1
MetaPropNYC,9
integraps,3
placewise,2
tecletuk,1
jotasker,2
diazluism_gdl,1
EdgeIotAi,1
contxto_,2
cchabei,1
NAIOhioEquities,1
J_Gomez_Moya,1
BIMCAEIcepick,1
aptoclick,2
realfundtokens,2
CarlosPierretri,1
DrasticSummit,5
KRod0916,1
SesoGlobal,6
BriqHQ,1
ColumbiaClubLon,1
labventures305,2
sabrina_scara,3
Koproo_Bi,2
ziggcap,2
EnisSliti,3
KristjanByfield,7
WPJWorldNews,1
Edward13Cohen,2
RiseBuildings,2
G2Commercial,1
ralph_arcdox,2
GoogleRetweet,1
CITABIMGroup,1
Arcdox,1
_lambassade,1
euratechnologie,3
walliancefrance,2
RichGreenhill,1
ln_duval,1
OLIVIER_GUERIN,1
Legal4Landlords,1
_Valimmo,1
BeemmoFr,3
Cjpradilla1,1
rentandoOnline,1
petscreening,3
Roelof_Opperman,1
RobotConsumer,1
heiztec,2
Sykosch,2
shunn_sakurai,7
Welmo_fr,2
migasconpe,1
IAM__Network,1
TheNewsFunnel,4
DashflowApp,1
rialtestech,2
tbinnovates,1
ProntoPiso,1
BrightDoor,2
takenotabi,1
angieshandmade1,1
jaytrap1,2
vzirnstein,4
Requadro2,4
Re2bit1,4
occupierhq,2
lmartinez_curt,1
touchdown_vc,1
ThinkLabDesign,1
smonicats,2
AssetSoft,5
innovationFTW,2
tcar,1
FIABCI,1
assuraplc,2
LynnetteAbad,1
BeneitezSL,1
BernieHernie,1
Keyzapp,1
DeveshNangla,3
NAIPVOHIO,1
NAIBergman,1
naikoellamoore,1
juanmanuperez,1
hubitation,2
EagleEyeCloud,1
estilodevidaxxi,2
aalmeennews,1
Martyn_BDM,1
EEPaul,1
Groundsure,1
isabel_JA1973,1
JacobusSystems,2
Go_IoT,1
ConiqHQ,2
Jorge_Dobon,1
narreach,1
stefanrunfeldt,1
Calcalistech,2
across_magazine,4
LeoniaRatajczak,1
miaandrew,1
MerkleIZ,1
GovTechResearch,1
boxticker,1
DrPaulBrindley,1
HyresgastSTHLM,1
HandeBerktan,1
ragnarbengtsson,1
AlfonsoRamire3,1
theNBS,1
kwqvist,1
nemetschekgroup,1
hofverberg,1
hyresgasterna,1
H0tPropertyDeal,2
