Mentioned,Freq
allsopp_allsopp,1
albertogaruccio,1
gigadgets_,2
smsspeedway,2
fukuharasatoshi,1
bexelmanager,1
orbitalwitness,1
getlegalthings,1
legaliboo,1
town__planner,1
andy_inch1,17
serge_golubev,3
takeda_proptech,4
ogisokazuma,1
ejeprime,1
italianproptech,1
ancenazionale,1
filodellepiane,1
filipporean,1
hackernoon,1
unisabana,2
rtpi,2
finnovatinghub,1
deltaoptimist,1
the_mover_mag,1
ctvvancouver,1
inautonews,1
goodwinlaw,1
uli,1
stackdevjobs,2
mennolammers,2
michareusen,1
drkierachapman,20
amfamventures,1
fishergate_sch,1
piersmorgan,1
calvertlewin14,1
nuukasolutions,5
reveoapp,1
adam_betta,3
highlandprtnrs,2
noticiascdt,1
recapital,1
fundthatflip,1
masschallengeil,1
thisismotive,1
housetoma,1
google_partner,3
portalapi_cat,4
posizionarte,5
bristolnotowers,14
farnsworth100,15
greenarteries,15
rosiep4,15
regenerationex,15
justspace7,5
antbreach,8
dave_mullen_,2
mashroomcom,2
fintech_germany,6
trustmeblockchn,1
chrispevans1,1
bisnodesverige,1
boostbrothersoy,1
immolyze,1
modelur,1
mietwise,1
moderansolution,1
fintechfor,1
cheddar,2
thelandsite,1
movesnap,1
appelyssa,1
propiedata,2
startuprad_io,5
openpathsec,5
dotla,3
revistadinero,3
techopiaott,3
1_valet,4
venbona_deutsch,1
laverdecaro,1
galapagoagro,1
appsco,1
ministerio_tic,1
fedesoftcol,1
rediqcre,2
pmaassociation,1
afisem_nantes,5
axeleo,8
reach_gb,2
proptechnl,1
allenmatkins,2
housingprogram,1
eliefinegold,1
startupinfos,4
wihom,1
brlaron,3
bnpparibas,7
geracaoalpha1,3
johnlalbright,1
relayventures,1
pextokens,1
brickx,1
bergfuerst,1
zopa,1
erikabatista,1
dasinkling,1
arbnco,2
ines_stre,1
estate_guru,1
europe1,1
snapkey_fr,1
aquicore,1
globestcom,2
b74pho,1
eauknetworking,1
villasandi_it,1
glassofbubbly,1
giraffe360,1
fredericbenisty,1
inviertis,12
amenify,1
dreamit,1
andrewfarah,1
david1gibbon,4
welmo_fr,1
martynziegler,1
rialtestech,1
rediq,3
offr_property,2
mathiasflattin,2
respace_news,1
rent4free1,1
nobrokercom,1
ravti,1
jasonwhutcheson,1
europlace,1
k_zineeddine,2
dataloftuk,4
kerfuffleclub,9
local_logic,11
whiteiain,1
propertypenny,1
moneypenny,1
sharon_boyle04,1
joannetattum,1
joannaswash,1
lynseyhodgson,1
kelltontech,2
the_depositary,9
la_today,2
tenancydeposits,2
bnewweek,10
kristjanbyfield,10
stephenbrown54,5
mcmaklerde,1
fundssociety,1
bod_tech,1
techwithin,1
gpe_plc,1
greensquare_grp,2
buildmetric,1
branchmessenger,1
moovebyapp,1
thefrontdoorapp,1
bnppre,7
