Departamento,Epigrafe,Item_Nombre,Item_URL_XML,Seccion,Alertas,Materias
"['MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN']",['Sistema de archivos'],"['Orden APA/1206/2020, de 14 de diciembre, por la que se regula el Sistema Archivístico del Ministerio de Agricultura, Pesca y Alimentación.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16561,['I. Disposiciones generales'],"['Cultura y ocio', 'Organización de la Administración']","['Archivos', 'Comités consultivos', 'Documentación', 'Ministerio de Agricultura Pesca y Alimentación', 'Patrimonio Documental y Bibliográfico', 'Secretaría General Técnica del Ministerio de Agricultura Pesca y Alimentación']"
['MINISTERIO DE UNIVERSIDADES'],['Servicios públicos. Acceso electrónico'],"['Resolución de 15 de diciembre de 2020, de la Agencia Nacional de Evaluación de la Calidad y Acreditación, por la que se crea la sede electrónica del organismo.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16562,['I. Disposiciones generales'],"['Administración electrónica', 'Derecho Administrativo', 'Organización de la Administración']","['Administración electrónica', 'Agencia Nacional de Evaluación de la Calidad y Acreditación', 'Internet', 'Registros telemáticos']"
