Item_id,Item_Title,Fecha_publicacion,Tags,Match_ASECORP_BBDD
CVE-DOGC-B-21055046-2021,"RESOLUCIÓN TES/496/2021, de 22 de febrero, por la que se formula la declaración ambiental estratégica del Plan especial urbanístico del camping Barcelona, en el término municipal de Mataró (exp. OTAABA20160090).",26/02/2021,"Ley 9/2018, Ley 16/2015, Ley 3/2012, Ley 42/2007, Ley 6/2009, Ley 21/2013","LEY 21/2013 ESP, LEY 3/2012 ESP, LEY 33/2015 ESP, LEY 42/2007 ESP, LEY 9/2018 ESP, RD 1274/2011 ESP, RES 8/3/2016 ESP, STC 113/2019 ESP, STC 13/2015 ESP , STC 53/2017 ESP"
CVE-DOGC-B-21055042-2021,"RESOLUCIÓN TES/505/2021, de 18 de febrero, de evaluación de impacto ambiental del Proyecto de restitución del entorno fluvial de la esclusa de la antigua central hidroeléctrica de Can Gironès en el río Ritort, promovido y tramitado por la Agencia Catalana del Agua, en el término municipal de Camprodon (exp. OTAAGI20200017).",26/02/2021,"Resolución ARP/681/2020, Ley 21/2013, Ley 9/2018","LEY 21/2013 ESP, LEY 9/2018 ESP, RES 8/3/2016 ESP, STC 113/2019 ESP, STC 13/2015 ESP , STC 53/2017 ESP"
CVE-DOGC-B-21055043-2021,"RESOLUCIÓN TES/506/2021, de 19 de febrero, de informe de impacto ambiental del Proyecto del aeródromo de Sant Nazari de les Olives, promovido por Tibiger, SA, y tramitado por el Ayuntamiento de Peralada, en el término municipal de Peralada (exp. OTAAGI20190089).",26/02/2021,"Ley 21/2, Ley 21/2013, Ley 16/2002","LEY 16/2002 ESP, LEY 21/2013 ESP, LEY 5/2013 ESP, LEY 9/2018 ESP, RD 509/2007 ESP, RD 815/2013 ESP, RES 8/3/2016 ESP, STC 13/2015 ESP , STC 53/2017 ESP"
CVE-DOGC-B-21055044-2021,"RESOLUCIÓN TES/507/2021, de 16 de febrero, de informe de impacto ambiental del Proyecto básico de rehabilitación de la Masia Fité, promovido y tramitado por Masia Fité, SL, en el término municipal de Torrefeta i Florejacs (exp. OTAALL20190182).",26/02/2021,"Ley 21/2013, Ley 9/2018","LEY 21/2013 ESP, LEY 9/2018 ESP, RES 8/3/2016 ESP, STC 113/2019 ESP, STC 13/2015 ESP , STC 53/2017 ESP"
CVE-DOGC-B-21055045-2021,"RESOLUCIÓN TES/508/2021, de 16 de febrero, de informe de impacto ambiental del Proyecto de roturaciones de terrenos forestales ROM 23 206 2019 en la finca Pla Paleta, promovido por Cogul SAT 1366 CAT y tramitado por el Departamento de Agricultura, Ganadería, Pesca y Alimentación, en el término municipal de Os de Balaguer (exp. OTAALL20200136).",26/02/2021,"Ley 21/2013, Ley 9/2018","LEY 21/2013 ESP, LEY 9/2018 ESP, RES 8/3/2016 ESP, STC 113/2019 ESP, STC 13/2015 ESP , STC 53/2017 ESP"
CVE-DOGC-B-21050033-2021,"EDICTO de 11 de febrero de 2021, sobre un acuerdo de la Comisión Territorial de Urbanismo de L'Alt Pirineu referente al municipio de Coll de Nargó.",26/02/2021,"Ley 3/2012, Ley 39/2015, Ley 29/1998, Ley 2/2007",LEY 3/2012 ESP
CVE-DOGC-B-21050098-2021,"EDICTO de 19 de febrero de 2021, sobre un acuerdo de la Comisión Territorial de Urbanismo de Girona referente al municipio de Llagostera.",26/02/2021,"Ley 3/2012, Ley 39/2015, Ley 29/1998, Ley 2/2007",LEY 3/2012 ESP
CVE-DOGC-B-21050099-2021,"EDICTO de 19 de febrero de 2021, sobre un acuerdo de la Comisión Territorial de Urbanismo de Girona referente al municipio de Serra de Daró.",26/02/2021,"Ley 3/2012, Ley 39/2015, Ley 29/1998, Ley 2/2007",LEY 3/2012 ESP
CVE-DOGC-B-21050015-2021,"EDICTO de 19 de febrero de 2021, sobre un acuerdo de la Comisión de Territorio de Cataluña referente a un Plan especial urbanístico del municipio de Cassà de la Selva.",26/02/2021,"Ley 2/2007, Ley 39/2015, Ley 3/2012, Ley 5/2020, Ley 29/1998",LEY 3/2012 ESP
CVE-DOGC-B-21050101-2021,"EDICTO de 19 de febrero de 2021, sobre un acuerdo de la Comisión Territorial de Urbanismo de Girona referente al municipio de Torroella de Fluvià.",26/02/2021,"Ley 3/2012, Ley 39/2015, Ley 29/1998, Ley 2/2007",LEY 3/2012 ESP
CVE-DOGC-B-21056037-2021,"ORDEN TSF/44/2021, de 24 de febrero, por la que se garantizan los servicios esenciales que presta el personal laboral técnico especialista en educación infantil (TEEI) destinado en centros educativos del Departamento de Educación de la Generalidad de Cataluña.",26/02/2021,ley 17/1977,
CVE-DOGC-B-21055053-2021,"RESOLUCIÓN EMC/503/2021, de 19 de febrero, por la que se abre la convocatoria de las ayudas de apoyo a departamentos y unidades de investigación universitarios para la contratación de personal investigador predoctoral en formación en Cataluña (FI_SDUR) para el año 2021 (ref. BDNS 550325).",26/02/2021,"Ley 38/2003, Real Decreto 99/2011, Real Decreto 103/2019, Ley 39/2015, Real Decreto 887/2006, Resolución UNI/73/2003, Ley 7/2001, Resolución EMC/3345/2020, Ley 29/1998",
CVE-DOGC-B-21055054-2021,"RESOLUCIÓN EMC/504/2021, de 20 de febrero, por la que se da publicidad a los convenios suscritos por la Agencia de Gestión de Ayudas Universitarias y de Investigación (AGAUR) durante el segundo semestre del año 2020.",26/02/2021,"Ley 26/2010, Ley 19/2014, Ley 16/2015",
