Item_id,Item_Name,Fecha_publicacion,Materias,Alertas,Referencias,Referencias_completas,Tags,Match_ASECORP_BBDD
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4482.pdf"";""BOE-A-2021-4482"")","Resolución de 3 de marzo de 2021, de la Secretaría General de Coordinación Territorial, por la que se publica el Acuerdo de la Junta de Cooperación Administración General del Estado-Comunidad Foral de Navarra, en relación con la Ley Foral 29/2019, de 23 de diciembre, de modificación de diversos impuestos y otras medidas tributarias y en relación con el Decreto-ley Foral 10/2020, de 16 de septiembre, por el que se aprueban medidas en materia de personal al servicio de la Administración de la Comunidad Foral de Navarra y sus organismos autónomos.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4483.pdf"";""BOE-A-2021-4483"")","Resolución de 3 de marzo de 2021, de la Secretaría General de Coordinación Territorial, por la que se publica el Acuerdo de la Subcomisión de Seguimiento Normativo, Prevención y Solución de Controversias de la Comisión Bilateral de Cooperación Administración General del Estado-Comunidad Autónoma de Andalucía, en relación con el Decreto-ley 3/2019, de 24 de septiembre, de medidas urgentes para la adecuación ambiental y territorial de las edificaciones irregulares en la Comunidad Autónoma de Andalucía.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4497.pdf"";""BOE-A-2021-4497"")","Sala Segunda. Sentencia 22/2021, de 15 de febrero de 2021. Recurso de amparo 3917-2019. Promovido por don Atik Makdad respecto de la sentencia de la Sala de lo Penal del Tribunal Supremo que le condenó por un delito contra la salud pública. Supuesta vulneración de los derechos a un proceso con todas las garantías y a la presunción de inocencia: condena en casación que no infringió los principios de inmediación ni acusatorio. Voto particular.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-B-2021-13862.pdf"";""BOE-B-2021-13862"")","Anuncio de licitación de: Secretaría General del Fondo de Garantía Salarial (FOGASA). Objeto: Servicio de limpieza en determinadas Unidades Administrativas Periféricas del Fondo de GarantíaSalarial, O.A. Expediente: 69/2021.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4508.pdf"";""BOE-A-2021-4508"")","Sala Segunda. Sentencia 33/2021, de 15 de febrero de 2021. Recurso de amparo 446-2020. Promovido por Aluminios del Maestre, SA, respecto de las resoluciones dictadas por un juzgado de primera instancia e instrucción de Villafranca de los Barros (Badajoz) en proceso de reclamación de cantidad. Vulneración del derecho a la tutela judicial efectiva: STC 40/2020 [inadecuada utilización de la dirección electrónica habilitada como cauce de comunicación del primer emplazamiento procesal (SSTC 6/2019 y 47/2019) e inadmisión de la oposición a la ejecución resultante de la confusión del deber de las personas jurídicas de relacionarse con la administración de justicia por medio de comunicaciones electrónicas con la regulación del primer emplazamiento en los procesos civiles].",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-B-2021-13872.pdf"";""BOE-B-2021-13872"")",Anuncio de licitación de: Secretaría General de la Tesorería General de la Seguridad Social. Objeto: Seguro de accidentes de trabajo y enfermedad profesional y seguro de responsabilidad civil para el personal de la Tesorería General de la Seguridad Social . Expediente: 2020/ASSEG.,2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-B-2021-13866.pdf"";""BOE-B-2021-13866"")","Anuncio de licitación de: Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla. Objeto: Proyecto 10/20 de renovación de equipos electromecánicos e implantación de energía renovable fotovoltaica para la mejora energética de la elevación de San Vicente del Raspeig- FEDER 14/20-MCT a cofinanciar por la Unión Europea a través del Fondo Europeo de Desarrollo Regional (FEDER), en el marco del Programa Operativo de Crecimiento Sostenible2014-2020 y dentro del Objetivo Temático 4, ""Favorecer la transición a una economía baja encarbono en todos los sectores"", con el fin de conseguir una economía más limpia y sostenible.. CP.03. O-10/20-02. Expediente: O-10/20-02.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4478.pdf"";""BOE-A-2021-4478"")","Resolución de 3 de marzo de 2021, de la Secretaría General de Coordinación Territorial, por la que se publica el Acuerdo de la Comisión Bilateral de Cooperación Administración General del Estado-Comunidad Autónoma de Canarias, en relación con la Ley 1/2020, de 20 de marzo, de medidas urgentes, por la que se regula la ayuda para la adquisición de medicamentos financiados por el Sistema Nacional de Salud a las personas que ostenten la condición de pensionistas de la Seguridad Social y sus beneficiarios cuya renta anual sea inferior a 18.000 euros.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4493.pdf"";""BOE-A-2021-4493"")","Sala Segunda. Sentencia 18/2021, de 15 de febrero de 2021. Recurso de amparo 3966-2018. Promovido por don Simón Viñals Pérez respecto de la sentencia de la Sala de lo Penal del Tribunal Supremo que le condenó por un delito de homicidio imprudente. Supuesta vulneración de los derechos a la tutela judicial efectiva, a un proceso con todas las garantías y a la presunción de inocencia: condena en casación que no llevó a cabo una modificación del relato de hechos probados ni una nueva valoración de la prueba y que hace uso de la teoría del incremento del riesgo como modelo de imputación del resultado en los casos de imprudencias médicas. Voto particular.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4487.pdf"";""BOE-A-2021-4487"")","Resolución de 11 de febrero de 2021, de la Dirección General de Política Energética y Minas, por la que se determina el incentivo a la reducción de las mermas de transporte correspondientes al año 2017.",2021-03-22,,,,,,
