Item_id,Item_Name,Fecha_publicacion,Materias,Alertas,Referencias,Referencias_completas,Tags,Match_ASECORP_BBDD
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/18/pdfs/BOE-A-2021-2454.pdf"";""BOE-A-2021-2454"")","Acta de la VIII Reunión de la Comisión Mixta Hispano-Hondureña de Cooperación por el que se aprueba el Marco de Asociación País España-Honduras 2020-2023, hecho en Madrid y Tegucigalpa el 16 de noviembre de 2020.",2021-02-18,"Acuerdos internacionales, Ayuda al desarrollo, Cooperación internacional, Honduras",Relaciones internacionales,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/18/pdfs/BOE-A-2021-2455.pdf"";""BOE-A-2021-2455"")","Acuerdo entre la Organización Mundial del Turismo y el Ministerio de Industria, Comercio y Turismo del Reino de España, para el desarrollo de los ODS, reto demográfico y turismo rural, hecho en Madrid el 16 de diciembre de 2020.",2021-02-18,"Acuerdos internacionales, Organización Mundial de Turismo, Turismo","Relaciones internacionales, Turismo","BOE-A-2015-8565, BOE-A-1974-1937","DE CONFORMIDAD con el art. 33 del Convenio de 25 de junio de 2015, DE CONFORMIDAD con al art. 3 de los Estatutos de 27 de septiembre de 1970",,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/18/pdfs/BOE-A-2021-2457.pdf"";""BOE-A-2021-2457"")","Resolución de 10 de febrero de 2021, de la Secretaría General de Financiación Autonómica y Local, por la que se desarrolla la información a suministrar por las Corporaciones locales relativa al esfuerzo fiscal de 2019 y su comprobación en las Delegaciones de Economía y Hacienda.",2021-02-18,"Administración Local, Ayuntamientos, Cesión de Tributos, Delegaciones de Hacienda, Información tributaria, Secretaría General de Financiación Autonómica y Local","Organización de la Administración, Sistema tributario",BOE-A-2020-17339,"DE CONFORMIDAD con el art. 95.3 de la Ley 11/2020, de 30 de diciembre",Ley 11/2020,LEY 11/2020 ESP
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/18/pdfs/BOE-A-2021-2456.pdf"";""BOE-A-2021-2456"")","Acuerdo Internacional Administrativo entre la Organización Mundial del Turismo y la Secretaría de Estado de Turismo del Gobierno del Reino de España, para la celebración de la 113ª reunión del Consejo Ejecutivo de la OMT, hecho en Madrid el 15 de enero de 2021.",2021-02-18,"Acuerdos internacionales, Congresos, Madrid, Organización Mundial de Turismo, Secretaría de Estado de Turismo","Relaciones internacionales, Turismo",BOE-A-2015-8565,DE CONFORMIDAD con el Convenio de 25 de junio de 2015,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/18/pdfs/BOE-A-2021-2453.pdf"";""BOE-A-2021-2453"")","Corrección de errores del Real Decreto-ley 3/2021, de 2 de febrero, por el que se adoptan medidas para la reducción de la brecha de género y otras materias en los ámbitos de la Seguridad Social y económico.",2021-02-18,"Asistencia social, Ayudas, Registros administrativos, Renta Mínima de Inserción","Asuntos sociales, Derecho Administrativo","BOE-A-2021-1529, BOE-A-2020-5493","CORRECCIÓN de errores del Real Decreto-ley 3/2021, de 2 de febrero, CORRIGE errores en la disposición transitoria 8 del Real Decreto-ley 20/2020, de 29 de mayo","Real Decreto-ley 3/2021, Real Decreto-ley 20/2020",
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/18/pdfs/BOE-A-2021-2458.pdf"";""BOE-A-2021-2458"")","Orden SND/133/2021, de 17 de febrero, sobre las condiciones de cuarentena a las que deben someterse las personas procedentes de la República Federativa de Brasil y la República de Sudáfrica a su llegada a España, durante la situación de crisis sanitaria ocasionada por el COVID-19.",2021-02-18,,,"BOE-A-2011-15623, BOE-A-1986-10498, BOE-A-2021-1531, BOE-A-2020-12898, BOE-A-1998-16718, BOE-A-1986-18374","DE CONFORMIDAD con el art. 52 de la Ley 33/2011, de 4 de octubre, DE CONFORMIDAD con los arts. 2 y 3 de la Ley Orgánica 3/1986, de 14 de abri, EN RELACIÓN con la Orden PCM/79/2021, de 2 de febrero, CITA Real Decreto 926/2020, de 25 de octubre, CITA Ley 29/1998, de 13 de julio, CITA Real Decreto 1418/1986, de 13 de junio","Real Decreto 1418/1986, Real Decreto 926/2020, Ley 29/1998, Ley 33/2011, Orden PCM/79/2021",LEY 33/2011 ESP
