Seccion,Item_Doc_Name,Fecha_publicacion,PDF_Link,Item_Title,Item_Link,Tags,Match_ASECORP_BBDD
L049,32021R0167,2021-02-12,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021R0167&from=ES"";""Doc: 32021R0167"")","Reglamento (UE) 2021/167 del Parlamento Europeo y del Consejo, de 10 de febrero de 2021, por el que se modifica el Reglamento (UE) n.",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.049.01.0001.01.SPA&toc=OJ:L:2021:049:TOC,[],
L049,32021R0168,2021-02-12,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021R0168&from=ES"";""Doc: 32021R0168"")","Reglamento (UE) 2021/168 del Parlamento Europeo y del Consejo, de 10 de febrero de 2021, por el que se modifica el Reglamento (UE) 2016/1011 en lo que respecta a la exención de determinados índices de referencia de tipos de cambio al contado de terceros países y a la designación de índices sustitutivos de determinados índices de referencia en caso de cesación, y por el que se modifica el Reglamento (UE) n.",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.049.01.0006.01.SPA&toc=OJ:L:2021:049:TOC,['Reglamento (UE) 2016/1011'],
L049,32021R0169,2021-02-12,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021R0169&from=ES"";""Doc: 32021R0169"")","Reglamento de Ejecución (UE) 2021/169 de la Comisión, de 11 de febrero de 2021, por el que se modifica el anexo I del Reglamento (CE) n.",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.049.01.0018.01.SPA&toc=OJ:L:2021:049:TOC,[],
