Item_id,Item_Title,Fecha_publicacion,Tags,Match_ASECORP_BBDD
CVE-DOGC-B-21054033-2021,"RESOLUCIÓN VEH/481/2021, de 8 de febrero, por la que se da publicidad al Convenio de colaboración entre la Agencia Tributaria de Cataluña y la Agencia de la Vivienda de Cataluña para la recaudación en período ejecutivo de ingresos tributarios y otros ingresos de derecho público.",25/02/2021,"Ley 17/2017, Orden VEH/117/2017, Ley 26/2010, Ley 39/2015, Ley 13/2009, Ley 58/2003, Reglamento (UE) 2016/679, Ley 18/2007, Real Decreto 939/2005, Ley 40/2015",
CVE-DOGC-B-21049037-2021,"EDICTO de 17 de febrero de 2021, sobre un acuerdo de la Comisión de Territorio de Cataluña referente a un Plan especial urbanístico del municipio de Alguaire.",25/02/2021,"Ley 2/2007, Ley 39/2015, Ley 3/2012, Ley 5/2020, Ley 29/1998",LEY 3/2012 ESP
CVE-DOGC-B-21049024-2021,"EDICTO de 18 de febrero de 2021, sobre un acuerdo de la Comisión Territorial de Urbanismo de L'Alt Pirineu referente al municipio de Puigcerdà.",25/02/2021,"Ley 3/2012, Ley 39/2015, Ley 29/1998, Ley 2/2007",LEY 3/2012 ESP
CVE-DOGC-B-21049071-2021,"EDICTO de 18 de febrero de 2021, sobre un acuerdo de la Comisión Territorial de Urbanismo de Girona referente al municipio de Campdevànol.",25/02/2021,"Ley 3/2012, Ley 39/2015, Ley 29/1998, Ley 2/2007",LEY 3/2012 ESP
CVE-DOGC-B-21049046-2021,"EDICTO de 18 de febrero de 2021, sobre un acuerdo de la Comisión de Territorio de Cataluña referente a un plan especial urbanístico del municipio de La Portella.",25/02/2021,"Ley 2/2007, Ley 39/2015, Ley 3/2012, Ley 5/2020, Ley 29/1998",LEY 3/2012 ESP
CVE-DOGC-B-21049076-2021,"CORRECCIÓN DE ERRATA en el Edicto de 29 de octubre de 2020, sobre un acuerdo de la Comisión Territorial de Urbanismo del ámbito metropolitano de Barcelona referente al municipio de Sant Just Desvern (DOGC núm. 8265, de 6.11.2020).",25/02/2021,,
CVE-DOGC-B-21054035-2021,"RESOLUCIÓN TES/479/2021, de 22 de febrero, por la que se da publicidad a los últimos convenios de colaboración firmados por la Agencia Catalana del Agua.",25/02/2021,"Ley 26/2010, Ley 10/2011",
CVE-DOGC-B-21055025-2021,"ACUERDO GOV/19/2021, de 23 de febrero, por el que se declara Bien Cultural de Interés Nacional, en la categoría de Zona Arqueológica, la villa romana de Vilauba, en los términos municipales de Camós y Porqueres (Pla de l'Estany).",25/02/2021,"Resolución CLT/677/2020, Ley 9/1993",
CVE-DOGC-B-21054067-2021,"RESOLUCIÓN TSF/480/2021, de 23 de febrero, por la que se abre la convocatoria para la concesión de varias becas Carné Joven del programa Conéctate correspondientes al año 2021 (ref. BDNS 549861).",25/02/2021,"Ley 33/2010, Ley 4/1985, Ley 4/2020, Ley 26/2010, Ley 39/2015, Resolución TSF/961/2020, Ley 6/2006, Real decreto 887/2006",LEY 33/2010 ESP
