Seccion,Item_Doc_Name,Fecha_publicacion,PDF_Link,Item_Title,Item_Link,Tags,Match_ASECORP_BBDD
L094,32021R0464,2021-03-18,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021R0464&from=ES"";""Doc: 32021R0464"")","Reglamento de Ejecución (UE) 2021/464 de la Comisión, de 17 de marzo de 2021, sobre la no aprobación de la sustancia ",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.094.01.0001.01.SPA&toc=OJ:L:2021:094:TOC,,
L094,32021D0465,2021-03-18,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0465&from=ES"";""Doc: 32021D0465"")","Decisión (UE) 2021/465 del Consejo, de 16 de marzo de 2021, por la que se nombra a un miembro del Comité Económico y Social Europeo",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.094.01.0003.01.SPA&toc=OJ:L:2021:094:TOC,"Decisión (UE) 2020/1392, Decisión (UE) 2019/853",
L094,32020R1749R(02),2021-03-18,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32020R1749R(02)&from=ES"";""Doc: 32020R1749R(02)"")","Corrección de errores del Reglamento Delegado (UE) 2020/1749 de la Comisión, de 7 de octubre de 2020, que modifica el Reglamento (CE) n.",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.094.01.0005.01.SPA&toc=OJ:L:2021:094:TOC,,
L094,32013L0029R(05),2021-03-18,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32013L0029R(05)&from=ES"";""Doc: 32013L0029R(05)"")","Corrección de errores de la Directiva 2013/29/UE del Parlamento Europeo y del Consejo, de 12 de junio de 2013, sobre la armonización de las legislaciones de los Estados miembros en materia de comercialización de artículos pirotécnicos ",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.094.01.0009.01.SPA&toc=OJ:L:2021:094:TOC,,
L095,32021D0463,2021-03-18,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0463&from=ES"";""Doc: 32021D0463"")","Decisión (UE) 2021/463 del Consejo, de 9 de marzo de 2021, relativa a la posición que debe adoptarse en nombre de la Unión Europea en el Comité Administrativo establecido por el Convenio Aduanero relativo al Transporte Internacional de Mercancías al amparo de los Cuadernos TIR, en lo que respecta a las enmiendas a dicho Convenio",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.095.01.0001.01.SPA&toc=OJ:L:2021:095:TOC,Decisión 2009/477,
