Item_id,Item_Name,Fecha_publicacion,Materias,Alertas,Referencias,Referencias_completas,Tags,Match_ASECORP_BBDD
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/23/pdfs/BOE-A-2021-2769.pdf"";""BOE-A-2021-2769"")","Decreto-ley 2/2020, de 31 de enero, por el que se establecen los límites para la aplicación del régimen simplificado y el régimen especial de la agricultura, ganadería y pesca del Impuesto General Indirecto Canario.",2021-02-23,"Agricultura, Canarias, Ganadería, Impuesto General Indirecto Canario, Pesca","Agricultura, Ganadería y animales, Pesca, Sistema tributario","BOE-A-2012-9282, BOE-A-2018-15138","MODIFICA , con efectos desde el 1 de enero de 2020, la disposición adicional 12 de la Ley 4/2012, de 25 de junio, DE CONFORMIDAD con los arts. 46 y 47.1 del Estatuto aprobado por Ley Orgánica 1/2018, de 5 de noviembre",Ley 4/2012,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/23/pdfs/BOE-A-2021-2768.pdf"";""BOE-A-2021-2768"")","Ley 4/2020, de 30 de diciembre, de Presupuestos de la Comunidad Autónoma de Aragón para el ejercicio 2021.",2021-02-23,"Aragón, Asistencia social, Cesión de Tributos, Función Pública, Juego, Oposiciones y concursos, Organización de las Comunidades Autónomas, Presupuestos de las Comunidades Autónomas, Relaciones de Puestos de Trabajo, Tasas","Asuntos sociales, Cultura y ocio, Función Pública, Organización de la Administración, Sistema financiero, Sistema tributario","BOA-d-2005-90006, BOA-d-2001-90002, BOE-A-1996-13286, BOA-d-1991-90001, BOE-A-2012-9063, BOE-A-2012-5730, BOE-A-2007-8444, BOA-d-2000-90001","MODIFICA la disposición transitoria 1, con efectos a partir del día 1 de abril de 2021 los arts. 140.3 y 140.4, y AÑADE el art. 131.12 a las disposiciones dictadas por la Comunidad Autónoma de Aragón en materia de tributos cedidos, texto refundido, aprobado por Decreto Legislativo 1/2005, de 26 de septiembre, MODIFICA el art. 81.2 de la Ley de la Administración de la Comunidad Autónoma de Aragón, texto refundido, aprobado por Decreto Legislativo 2/2001, de 3 julio, MODIFICA el art. 17.4 de la Ley 4/1996, de 22 de mayo, MODIFICA el art. 22 de  la Ley de Ordenación de la Función Pública de la Comunidad Autónoma de Aragón, texto refundido, aprobado por Decreto Legislativo 1/1991, de 19 de febrero, DE CONFORMIDAD con la Ley 5/2012, de 7 de junio, DE CONFORMIDAD con la Ley Orgánica 2/2012, de 27 de abril, DE CONFORMIDAD con el Estatuto aprobado por Ley Orgánica 5/2007, de 20 de abril, DE CONFORMIDAD con la  Ley de Hacienda de la Comunidad Autónoma de Aragón, texto refundido, aprobado por Decreto Legislativo 1/2000, de 29 junio","Ley 4/1996, Ley 5/2012",
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/23/pdfs/BOE-A-2021-2761.pdf"";""BOE-A-2021-2761"")","Corrección de errores de la Ley Orgánica 3/2020, de 29 de diciembre, por la que se modifica la Ley Orgánica 2/2006, de 3 de mayo, de Educación.",2021-02-23,"Acceso a la universidad, Alumnos, Bachillerato, Becas, Calendario Escolar, Catálogo Nacional de Cualificaciones Profesionales, Centros de enseñanza, Consejos Escolares, Currículo, Deporte, Educación, Educación Infantil, Educación Primaria, Educación Secundaria Obligatoria, Enseñanza Artística, Enseñanza de Formación Profesional, Estudios extranjeros, Ficheros con datos personales, Lenguas españolas, Libros de texto, Oposiciones y concursos, Profesorado, Títulos académicos y profesionales","Educación y enseñanza, Función Pública","BOE-A-2020-17264, BOE-A-2006-7899, BOE-A-1985-12978","CORRECCIÓN de errores de la Ley Orgánica 3/2020, de 29 de diciembre, CORRIGE errores en la Ley Orgánica 2/2006, de 3 de mayo, CORRIGE errores en la Ley Orgánica 8/1985, de 3 de julio",,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/23/pdfs/BOE-A-2021-2763.pdf"";""BOE-A-2021-2763"")","Cuestión de inconstitucionalidad n.º 6283-2020, en relación con el artículo 10.8 de la Ley reguladora de la Jurisdicción Contencioso-administrativa, introducido por la disposición final segunda de la Ley 3/2020, de 18 de septiembre, de medidas procesales y organizativas para hacer frente al COVID-19 en el ámbito de la Administración de Justicia.",2021-02-23,"Administración de Justicia, Autorizaciones, Cuestiones de inconstitucionalidad, Jurisdicción Contencioso Administrativa, Sanidad, Tribunales Superiores de Justicia","Administración de Justicia, Derecho Constitucional, Sanidad","BOE-A-1998-16718, BOE-A-2020-10923","Cuestion promovida por supuesta inconstitucionalidad del art. 10.8 de la Ley 29/1998, de 13 de julio, en la redacción dada por la disposición final 2.2 de la Ley 3/2020, de 18 de septiembre, Cuestion promovida por supuesta inconstitucionalidad ,","Ley 3/2020, Ley 29/1998",
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/23/pdfs/BOE-A-2021-2762.pdf"";""BOE-A-2021-2762"")","Recurso de inconstitucionalidad n.º 231-2021, contra la Ley 1/2020, de 8 de octubre, por la que se modifica la Ley 9/2001, de 17 de julio, del Suelo de la Comunidad de Madrid, para el impulso y reactivación de la actividad urbanística.",2021-02-23,"Madrid, Recursos de inconstitucionalidad, Suelo, Urbanismo","Derecho Constitucional, Vivienda y urbanismo","BOE-A-2001-18984, DOGC-f-2020-90048","Recurso promovido contra determinados preceptos de la Ley 9/2001, de 17 de julio, en la redacción dada por la la Ley 1/2020, de 8 de octubre, Recurso promovido contra ,","Ley 9/2001, Ley 1/2020",
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/23/pdfs/BOE-A-2021-2766.pdf"";""BOE-A-2021-2766"")","Ley 2/2021, de 29 de enero, de Medidas Fiscales y Administrativas para el año 2021.",2021-02-23,"Acceso a la información, Administración electrónica, Agentes forestales y medioambientales, Aguas residuales, Cesión de Tributos, Consejos Escolares, Contratos de trabajo, Créditos Presupuestarios, Desarrollo regional, Educación, Epidemias, Espectáculos, Establecimientos públicos, Funcionarios públicos, Impuesto sobre la Renta de las Personas Físicas, Impuesto sobre Sucesiones y Donaciones, Información tributaria, Juego, La Rioja, Licencias, Máquinas automáticas, Menores, Metales preciosos, Obras, Obras hidráulicas, Ocio, Ordenación del territorio, Organización de las Comunidades Autónomas, Policía, Política económica, Renta Mínima de Inserción, Servicios Sociales de las Comunidades Autónomas, Sistema tributario, Tarifas, Tasas, Viticultura, Viviendas","Administración electrónica, Agricultura, Asuntos sociales, Cultura y ocio, Educación y enseñanza, Función Pública, Medio ambiente, Obras y construcciones, Organización de la Administración, Seguridad y Defensa, Sistema tributario, Trabajo y empleo, Vivienda y urbanismo","BOE-A-2018-15241, BOE-A-2017-13750, BOE-A-2017-5627, BOE-A-2017-588, BOE-A-2014-9898, BOE-A-2013-11692, BOE-A-2010-9108, BOE-A-2006-9008, BOE-A-2006-5208, BOE-A-2004-13062, BOE-A-2002-21674, BOE-A-2000-21563, BOE-A-2000-20554, BOE-A-1997-22317, BOE-A-1990-18911, BOE-A-2010-658, BOE-A-1982-15030","MODIFICA el art. 1 y las disposiciones transitoria única y final 2 de Ley 5/2018, de 19 de octubre, MODIFICA determinados preceptos y AÑADE la sección 3, al capítulo III del título II de la Ley 10/2017, de 27 de octubre, MODIFICA el art. 7.a) y b) de la Ley 4/2017, de 28 de abril, MODIFICA el art. 11 de la Ley 1/2017, de 3 de enero,, MODIFICA los arts. 4, 7 y 27 de la Ley 3/2014, de 11 de septiembre, MODIFICA el art. 60 de la Ley 11/2013, de 21 de octubre, MODIFICA los arts. 50 y 56 de la Ley 5/2010, de 14 de mayo, MODIFICA la disposición transitoria 1 de la Ley 5/2006, de 2 de mayo, MODIFICA el art. 89.1 de la Ley 1/2006, de 28 de febrero,, MODIFICA el art. 12 de la Ley 3/2004, de 25 de junio, MODIFICA lo indicado y SUSPENDE, para el ejercicio de 2021, lo señalado en la disposición transitoria 1.2 a 4 de la Ley 6/2002, de 18 de octubre, MODIFICA el art. 22.d) y AÑADE el 17 bis y la disposición adicional 6 a la Ley 4/2000, de 25 de octubre, MODIFICA los arts. 6.4 y 31 de la Ley 5/2000, de 25 de octubre, MODIFICA los arts. 25, 27 y 28 de la Ley 7/1997, de 3 de octubre, MODIFICA las disposiciones adicionales 6 a 8 de la Ley 3/1990, de 29 de junio, AÑADE la disposición adicional 4 a la Ley 7/2009, de 22 de diciembre, DE CONFORMIDAD con el Estatuto aprobado por Ley Orgánica 3/1982, de 9 de junio","Ley 7/2009, Ley 3/2014, Ley 3/1990, Ley 4/2000, Ley 5/2006, Ley 1/2006, Ley 5/2010, Ley 11/2013, Ley 6/2002, Ley 5/2018, Ley 3/2004, Ley 4/2017, Ley 1/2017, Ley 7/1997, Ley 10/2017, Ley 5/2000","LEY 11/2013 ESP, LEY 3/2014 ESP, STC 86/2019 ESP"
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/23/pdfs/BOE-A-2021-2767.pdf"";""BOE-A-2021-2767"")","Ley 3/2020, de 3 de diciembre, por la que se establece el régimen jurídico de alerta sanitaria para el control de la pandemia COVID-19 en Aragón.",2021-02-23,"Aragón, Asistencia sanitaria, Asistencia social, Enfermedades, Epidemias, Estado de alarma, Formularios administrativos, Libre circulación de personas, Material sanitario, Reglamentaciones técnico sanitarias","Asuntos sociales, Derecho Administrativo, Sanidad","---, BOA-d-2020-90438, BOA-d-2020-90415, BOA-d-2020-90411, BOE-A-2007-8444, BOE-A-1986-10498","DEROGA la Orden SAN/885/2020, de 15 de septiembre (BOA núm. 187, de 19 de septiembre de 2020), DEROGA el Decreto-ley 9/2020, de 4 de noviembre, DEROGA el Decreto-ley 8/2020, de 21 de octubre, DEROGA el Decreto-ley 7/2020, de 19 de octubre, DE CONFORMIDAD con el Estatuto aprobado por Ley Orgánica 5/2007, de 20 de abril, DE CONFORMIDAD con la Ley Orgánica 3/1986, de 14 de abril","ley 8/2020, Orden SAN/885/2020, ley 9/2020, ley 7/2020",
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/23/pdfs/BOE-A-2021-2765.pdf"";""BOE-A-2021-2765"")","Ley 1/2021, de 29 de enero, de Presupuestos Generales de la Comunidad Autónoma de La Rioja para el año 2021.",2021-02-23,"Créditos Presupuestarios, Gestión presupuestaria, Haciendas de las Comunidades Autónomas, La Rioja, Ordenación de gastos y pagos, Organización de las Comunidades Autónomas, Presupuestos de las Comunidades Autónomas","Organización de la Administración, Sistema financiero, Sistema tributario","BOE-A-2020-1938, BOE-A-1982-15030, BOE-A-2013-11692, BOE-A-2012-5730","DEROGA la Ley 1/2020, de 30 de enero, DE CONFORMIDAD con el Estatuto aprobado por Ley Orgánica 3/1982, de 9 de junio, CITA Ley 11/2013, de 21 de octubre, CITA Ley Orgánica 2/2012, de 27 de abril","Ley 11/2013, Ley 1/2020",LEY 11/2013 ESP
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/23/pdfs/BOE-A-2021-2764.pdf"";""BOE-A-2021-2764"")",Acuerdo internacional administrativo para la adhesión al Acuerdo multilateral sobre el intercambio de microdatos en el contexto de las estadísticas de comercio de bienes dentro de la Unión Europea.,2021-02-23,"Acuerdos internacionales, Agencia Estatal de la Administración Tributaria, Comercio intracomunitario, Estadística, Intercambios intracomunitarios, Oficina Estadística de las Comunidades Europeas, Unión Europea","Comercio, Relaciones internacionales, Unión Europea",,,,
