Item_id,Item_Title,Fecha_publicacion,Tags,Match_ASECORP_BBDD
CVE-DOGC-B-21074036-2021,"RESOLUCIÓN PRE/734/2021, de 9 de marzo, por la que se abre la convocatoria para la concesión de ayudas extraordinarias y de emergencia para hacer frente a las afectaciones económicas y sociales producidas en el sector de la actividad física y el deporte a causa del aplazamiento o la suspensión de competiciones deportivas de ámbito catalán, atendiendo la publicación de las resoluciones SLT/1/2021, de 4 de enero, SLT/67/2021, de 17 de enero, y SLT/133/2021, de 22 de enero, como consecuencia de la crisis sanitaria, económica y social de la COVID-19 (ref. BDNS 552491).",17/03/2021,"Resolución PRE/392/2021, Ley 26/2010, Orden PRE/5/2017, Resolución SLT/67/2021, Ley 39/2015, Ley 43/2020, Orden GRI/233/2015, Ley 38/2003, Resolución SLT/1/2021, Ley 4/2020, Resolución SLT/133/2021","RES SLT/1/2021 CAT, RES SLT/133/2021 CAT, RES SLT/67/2021 CAT"
CVE-DOGC-B-21074038-2021,"RESOLUCIÓN EXI/733/2021, de 5 de febrero, de la directora de Servicios del Departamento de Acción Exterior, Relaciones Institucionales y Transparencia, por la que se encarga al Instituto Catalán de Evaluación de Políticas Públicas (Ivàlua) la elaboración de la Teoría del Cambio y el sistema de indicadores para las Mesas de Participación Social, y la evaluación del asesoramiento de la Dirección General de Participación Ciudadana y Procesos Electorales (DGPCPE) al Departamento de Justicia.",17/03/2021,"Ley 9/2017, Ley 40/2015, Resolución EXI/404/2019, ley 40/2015, Resolución EXI/677/2019",LEY 9/2017 ESP
CVE-DOGC-B-21069082-2021,"EDICTO de 8 de marzo de 2021, sobre acuerdos de la Comisión Territorial de Urbanismo de El Penedès referentes al municipio de El Montmell.",17/03/2021,"Ley 2/2007, orden PTO/343/2005, Ley 39/2015, Orden TES/195/2019, Ley 29/1998, Ley 3/2012","DLE 3/2012 CAT, LEY 14/2015 CAT, LEY 3/2012 CAT, LEY 3/2012 ESP"
CVE-DOGC-B-21069061-2021,"EDICTO de 9 de marzo de 2021, sobre un acuerdo de la Comisión Territorial de Urbanismo del ámbito metropolitano de Barcelona referente al municipio de El Prat de Llobregat.",17/03/2021,"Ley 29/1998, Ley 3/2012, Ley 39/2015, Ley 2/2007","DLE 3/2012 CAT, LEY 14/2015 CAT, LEY 3/2012 CAT, LEY 3/2012 ESP"
CVE-DOGC-B-21069088-2021,"EDICTO de 10 de marzo de 2021, sobre un acuerdo de la Comisión Territorial de Urbanismo de Girona referente al municipio de Navata.",17/03/2021,"Ley 2/2007, Ley 39/2015, Ley 6/2009, Ley 29/1998, Ley 3/2012","DLE 3/2012 CAT, LEY 14/2015 CAT, LEY 3/2012 CAT, LEY 3/2012 ESP, LEY 6/2009 CAT"
CVE-DOGC-B-21069034-2021,"EDICTO de 10 de marzo de 2021, sobre acuerdos de la Comisión Territorial de Urbanismo del Arco Metropolitano de Barcelona referentes a una modificación puntual de Plan parcial urbanístico del municipio de Santa Susanna.",17/03/2021,"Ley 2/2007, Orden PTO/343/2005, Ley 39/2015, Ley 29/1998, Ley 3/2012","DLE 3/2012 CAT, LEY 14/2015 CAT, LEY 3/2012 CAT, LEY 3/2012 ESP"
CVE-DOGC-B-21069053-2021,"RESOLUCIÓN CLT/683/2021, de 9 de marzo, de convocatoria para la concesión de subvenciones, en régimen de concurrencia competitiva, a la producción de nuevos montajes teatrales de sala y de calle de carácter profesional (ref. BDNS 552675).",17/03/2021,"Resolución CLT/3142/2020, Orden CLT/4/2013, Ley 20/2000, Resolución CLT/187/2021",
CVE-DOGC-B-21071046-2021,"RESOLUCIÓN CLT/722/2021, de 10 de marzo, de convocatoria para la concesión de subvenciones, en régimen de concurrencia competitiva, para obras de mejora o para la adquisición de equipamiento de empresas de artes escénicas y salas privadas de teatro de Cataluña, excepto de la ciudad de Barcelona (ref. BDNS 553016).",17/03/2021,"Resolución CLT/3142/2020, Resolución CLT/588/2021, Orden CLT/4/2013, Ley 20/2000, Resolución CLT/187/2021",
CVE-DOGC-B-21069042-2021,"CORRECCIÓN DE ERRATAS en la Resolución TSF/3535/2020, de 18 de diciembre, por la que se dispone la inscripción y la publicación del III Convenio colectivo de trabajo del Ciclo Integral del Agua (código de convenio núm. 79100125012014) (DOGC núm. 8334, de 5.2.2021).",17/03/2021,"Real decreto legislativo 2/2015, Ley 26/2010, Ley 39/2015",
CVE-DOGC-B-21074043-2021,"ORDEN ARP/60/2021, de 12 de marzo, por la que se reconoce con carácter definitivo el Consejo Regulador y el Reglamento de la Indicación Geográfica Protegida Ratafía Catalana.",17/03/2021,"Orden ARP/146/2017, Ley 14/2003, Orden ARP/243/2017",
CVE-DOGC-B-21074042-2021,"ORDEN ARP/61/2021, de 12 de marzo, por la que se reconoce con carácter definitivo el Consejo Regulador y el Reglamento de la Indicación Geográfica Protegida Brandy del Penedès.",17/03/2021,"Ley 14/2003, Orden ARP/246/2017, Orden ARP/146/2017",
CVE-DOGC-B-21074044-2021,"ORDEN ARP/62/2021, de 11 de marzo, por la que se modifica la Orden ARP/15/2018, de 16 de febrero, por la que se aprueban las bases reguladoras de las ayudas ",17/03/2021,"Orden ARP/15/2018, Orden VEH/79/2020, Reglamento (UE) 1408/2013, Orden ECO/172/2015",
