Seccion,Item_Doc_Name,Fecha_publicacion,PDF_Link,Item_Title,Item_Link,Tags,Match_ASECORP_BBDD
L050,32021R0170,2021-02-15,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021R0170&from=ES"";""Doc: 32021R0170"")","Reglamento de Ejecución (UE) 2021/170 de la Comisión, de 9 de febrero de 2021, relativo a la clasificación de determinadas mercancías en la nomenclatura combinada",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.050.01.0001.01.SPA&toc=OJ:L:2021:050:TOC,,
L050,32021R0171,2021-02-15,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021R0171&from=ES"";""Doc: 32021R0171"")","Reglamento de Ejecución (UE) 2021/171 de la Comisión, de 12 de febrero de 2021, por el que se modifica el Reglamento de Ejecución (UE) 2019/626 en lo que respecta a las listas de terceros países y regiones de terceros países desde los que se autoriza la introducción en la Unión Europea de partidas de insectos",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.050.01.0004.01.SPA&toc=OJ:L:2021:050:TOC,Reglamento (UE) 2017/625,
L050,32021D0172,2021-02-15,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0172&from=ES"";""Doc: 32021D0172"")","Decisión (UE) 2021/172 del Consejo, de 11 de febrero de 2021, por la que se nombra a un miembro y un suplente del Comité de las Regiones, propuestos por Rumanía",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.050.01.0007.01.SPA&toc=OJ:L:2021:050:TOC,,
L050,32021D0173,2021-02-15,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0173&from=ES"";""Doc: 32021D0173"")","Decisión de Ejecución (UE) 2021/173 de la Comisión, de 12 de febrero de 2021, por la que se crea la Agencia Ejecutiva Europea de Clima, Infraestructuras y Medio Ambiente, la Agencia Ejecutiva Europea en los ámbitos de la Salud y Digital, la Agencia Ejecutiva Europea de Investigación, la Agencia Ejecutiva para el Consejo Europeo de Innovación y las Pymes, la Agencia Ejecutiva Europea de Investigación y la Agencia Ejecutiva Europea de Educación y Cultura, y se derogan las Decisiones de Ejecución 2013/801/UE, 2013/771/UE, 2013/778/UE, 2013/779/UE, 2013/776/UE y 2013/770/UE",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.050.01.0009.01.SPA&toc=OJ:L:2021:050:TOC,,
L050,32021D0174,2021-02-15,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0174&from=ES"";""Doc: 32021D0174"")","Decisión (UE) 2021/174 del Banco Central Europeo, de 10 de febrero de 2021, por la que se modifica la Decisión (UE) 2020/440 sobre un programa temporal de compras de emergencia en caso de pandemia (BCE/2021/6)",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.050.01.0029.01.SPA&toc=OJ:L:2021:050:TOC,,
L051,32021D0158,2021-02-15,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0158&from=ES"";""Doc: 32021D0158"")","Decisión de Ejecución (UE) 2021/158 de la Comisión, de 21 de enero de 2021, por la que se adopta la decimocuarta lista actualizada de lugares de importancia comunitaria de la región biogeográfica boreal ",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.051.01.0001.01.SPA&toc=OJ:L:2021:051:TOC,,
L051,32021D0159,2021-02-15,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0159&from=ES"";""Doc: 32021D0159"")","Decisión de Ejecución (UE) 2021/159 de la Comisión, de 21 de enero de 2021, por la que se adopta la decimocuarta lista actualizada de lugares de importancia comunitaria de la región biogeográfica mediterránea ",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.051.01.0187.01.SPA&toc=OJ:L:2021:051:TOC,,
L051,32021D0160,2021-02-15,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0160&from=ES"";""Doc: 32021D0160"")","Decisión de Ejecución (UE) 2021/160 de la Comisión, de 21 de enero de 2021, por la que se adopta la duodécima lista actualizada de lugares de importancia comunitaria de la región biogeográfica panónica ",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.051.01.0303.01.SPA&toc=OJ:L:2021:051:TOC,,
L051,32021D0161,2021-02-15,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0161&from=ES"";""Doc: 32021D0161"")","Decisión de Ejecución (UE) 2021/161 de la Comisión, de 21 de enero de 2021, por la que se adopta la decimocuarta lista actualizada de lugares de importancia comunitaria de la región biogeográfica continental ",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.051.01.0330.01.SPA&toc=OJ:L:2021:051:TOC,,
L051,32021D0162,2021-02-15,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0162&from=ES"";""Doc: 32021D0162"")","Decisión de Ejecución (UE) 2021/162 de la Comisión, de 21 de enero de 2021, por la que se adopta la novena lista actualizada de lugares de importancia comunitaria de la región biogeográfica macaronésica ",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.051.01.0596.01.SPA&toc=OJ:L:2021:051:TOC,,
L051,32021D0163,2021-02-15,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0163&from=ES"";""Doc: 32021D0163"")","Decisión de Ejecución (UE) 2021/163 de la Comisión, de 21 de enero de 2021, por la que se adopta la decimocuarta lista actualizada de lugares de importancia comunitaria de la región biogeográfica atlántica ",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.051.01.0605.01.SPA&toc=OJ:L:2021:051:TOC,,
L051,32021D0164,2021-02-15,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0164&from=ES"";""Doc: 32021D0164"")","Decisión de Ejecución (UE) 2021/164 de la Comisión, de 21 de enero de 2021, por la que se adopta la sexta lista actualizada de lugares de importancia comunitaria de la región biogeográfica del mar Negro ",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.051.01.0698.01.SPA&toc=OJ:L:2021:051:TOC,,
L051,32021D0165,2021-02-15,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0165&from=ES"";""Doc: 32021D0165"")","Decisión de Ejecución (UE) 2021/165 de la Comisión, de 21 de enero de 2021, por la que se adopta la decimocuarta lista actualizada de lugares de importancia comunitaria de la región biogeográfica alpina ",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.051.01.0702.01.SPA&toc=OJ:L:2021:051:TOC,,
L052,32021D0175,2021-02-15,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0175&from=ES"";""Doc: 32021D0175"")","Decisión de Ejecución (UE) 2021/175 de la Comisión, de 12 de febrero de 2021, por la que se modifica el anexo de la Decisión de Ejecución 2014/709/UE, sobre medidas de control zoosanitarias relativas a la peste porcina africana en determinados Estados miembros ",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.052.01.0001.01.SPA&toc=OJ:L:2021:052:TOC,,
